sample_id,variant_name,variant_id,timestamp,decision_step,step,episode_id,q1,q2,q_min,q_mean
0,base,0,2025-07-29 08:00:00,1,0,0,-565.6341,-567.1594,-567.1594,-566.3967
1,base,0,2025-07-29 08:20:00,1,4,0,-453.29538,-452.75006,-453.29538,-453.0227
2,base,0,2025-07-29 08:45:00,1,9,0,-429.099,-432.91403,-432.91403,-431.00653
3,base,0,2025-07-29 09:10:00,1,14,0,-416.80362,-418.03058,-418.03058,-417.4171
4,base,0,2025-07-29 09:35:00,1,19,0,-408.8716,-407.40482,-408.8716,-408.1382
5,base,0,2025-07-29 10:00:00,1,24,0,-386.19028,-387.9138,-387.9138,-387.05203
6,base,0,2025-07-29 10:25:00,1,29,0,-368.21396,-369.7453,-369.7453,-368.9796
7,base,0,2025-07-29 10:50:00,1,34,0,-347.46277,-346.08524,-347.46277,-346.774
8,base,0,2025-07-29 11:15:00,1,39,0,-323.5311,-320.88666,-323.5311,-322.20886
9,base,0,2025-07-29 11:40:00,1,44,0,-288.8473,-290.76917,-290.76917,-289.80823
10,base,0,2025-07-29 12:05:00,1,49,0,-255.94368,-256.3888,-256.3888,-256.16623
11,base,0,2025-07-29 12:30:00,1,54,0,-223.47159,-224.4519,-224.4519,-223.96175
12,base,0,2025-07-29 12:55:00,1,59,0,-190.92049,-190.51689,-190.92049,-190.71869
13,base,0,2025-07-29 13:20:00,1,64,0,-168.43639,-168.295,-168.43639,-168.36569
14,base,0,2025-07-29 13:45:00,1,69,0,-143.198,-142.00253,-143.198,-142.60027
15,base,0,2025-07-29 14:10:00,1,74,0,-123.66693,-123.206345,-123.66693,-123.43664
16,base,0,2025-07-29 14:35:00,1,79,0,-103.1369,-103.90887,-103.90887,-103.52289
17,base,0,2025-07-29 15:00:00,1,84,0,-82.04706,-81.9072,-82.04706,-81.97713
18,base,0,2025-07-29 15:25:00,1,89,0,-57.39068,-56.28437,-57.39068,-56.837524
19,base,0,2025-07-29 15:50:00,1,94,0,-33.451683,-34.985935,-34.985935,-34.21881
20,base,0,2025-07-29 16:15:00,1,99,0,-16.325037,-15.396056,-16.325037,-15.860546
21,base,0,2025-07-29 16:40:00,1,104,0,-8.420725,-8.749129,-8.749129,-8.584927
22,base,0,2025-07-29 17:05:00,1,109,0,2.626463,1.5676088,1.5676088,2.097036
23,base,0,2025-07-29 17:30:00,1,114,0,3.2158108,3.056489,3.056489,3.13615
24,base,0,2025-07-29 17:55:00,1,119,0,1.5120678,0.3275385,0.3275385,0.91980314
25,base,0,2025-07-29 08:00:00,1,0,1,-565.6341,-567.1594,-567.1594,-566.3967
26,base,0,2025-07-29 08:20:00,1,4,1,-453.29538,-452.75006,-453.29538,-453.0227
27,base,0,2025-07-29 08:45:00,1,9,1,-429.099,-432.91403,-432.91403,-431.00653
28,base,0,2025-07-29 09:10:00,1,14,1,-416.80362,-418.03058,-418.03058,-417.4171
29,base,0,2025-07-29 09:35:00,1,19,1,-408.8716,-407.40482,-408.8716,-408.1382
30,base,0,2025-07-29 10:00:00,1,24,1,-386.19028,-387.9138,-387.9138,-387.05203
31,base,0,2025-07-29 10:25:00,1,29,1,-368.21396,-369.7453,-369.7453,-368.9796
32,base,0,2025-07-29 10:50:00,1,34,1,-347.46277,-346.08524,-347.46277,-346.774
33,base,0,2025-07-29 11:15:00,1,39,1,-323.5311,-320.88666,-323.5311,-322.20886
34,base,0,2025-07-29 11:40:00,1,44,1,-288.8473,-290.76917,-290.76917,-289.80823
35,base,0,2025-07-29 12:05:00,1,49,1,-255.94368,-256.3888,-256.3888,-256.16623
36,base,0,2025-07-29 12:30:00,1,54,1,-223.47159,-224.4519,-224.4519,-223.96175
37,base,0,2025-07-29 12:55:00,1,59,1,-190.92049,-190.51689,-190.92049,-190.71869
38,base,0,2025-07-29 13:20:00,1,64,1,-168.43639,-168.295,-168.43639,-168.36569
39,base,0,2025-07-29 13:45:00,1,69,1,-143.198,-142.00253,-143.198,-142.60027
40,base,0,2025-07-29 14:10:00,1,74,1,-123.66693,-123.206345,-123.66693,-123.43664
41,base,0,2025-07-29 14:35:00,1,79,1,-103.1369,-103.90887,-103.90887,-103.52289
42,base,0,2025-07-29 15:00:00,1,84,1,-82.04706,-81.9072,-82.04706,-81.97713
43,base,0,2025-07-29 15:25:00,1,89,1,-57.39068,-56.28437,-57.39068,-56.837524
44,base,0,2025-07-29 15:50:00,1,94,1,-33.451683,-34.985935,-34.985935,-34.21881
45,base,0,2025-07-29 16:15:00,1,99,1,-16.325037,-15.396056,-16.325037,-15.860546
46,base,0,2025-07-29 16:40:00,1,104,1,-8.420725,-8.749129,-8.749129,-8.584927
47,base,0,2025-07-29 17:05:00,1,109,1,2.626463,1.5676088,1.5676088,2.097036
48,base,0,2025-07-29 17:30:00,1,114,1,3.2158108,3.056489,3.056489,3.13615
49,base,0,2025-07-29 17:55:00,1,119,1,1.5120678,0.3275385,0.3275385,0.91980314
50,base,0,2025-07-29 08:00:00,1,0,2,-565.6341,-567.1594,-567.1594,-566.3967
51,base,0,2025-07-29 08:20:00,1,4,2,-453.29538,-452.75006,-453.29538,-453.0227
52,base,0,2025-07-29 08:45:00,1,9,2,-429.099,-432.91403,-432.91403,-431.00653
53,base,0,2025-07-29 09:10:00,1,14,2,-416.80362,-418.03058,-418.03058,-417.4171
54,base,0,2025-07-29 09:35:00,1,19,2,-408.8716,-407.40482,-408.8716,-408.1382
55,base,0,2025-07-29 10:00:00,1,24,2,-386.19028,-387.9138,-387.9138,-387.05203
56,base,0,2025-07-29 10:25:00,1,29,2,-368.21396,-369.7453,-369.7453,-368.9796
57,base,0,2025-07-29 10:50:00,1,34,2,-347.46277,-346.08524,-347.46277,-346.774
58,base,0,2025-07-29 11:15:00,1,39,2,-323.5311,-320.88666,-323.5311,-322.20886
59,base,0,2025-07-29 11:40:00,1,44,2,-288.8473,-290.76917,-290.76917,-289.80823
60,base,0,2025-07-29 12:05:00,1,49,2,-255.94368,-256.3888,-256.3888,-256.16623
61,base,0,2025-07-29 12:30:00,1,54,2,-223.47159,-224.4519,-224.4519,-223.96175
62,base,0,2025-07-29 12:55:00,1,59,2,-190.92049,-190.51689,-190.92049,-190.71869
63,base,0,2025-07-29 13:20:00,1,64,2,-168.43639,-168.295,-168.43639,-168.36569
64,base,0,2025-07-29 13:45:00,1,69,2,-143.198,-142.00253,-143.198,-142.60027
65,base,0,2025-07-29 14:10:00,1,74,2,-123.66693,-123.206345,-123.66693,-123.43664
66,base,0,2025-07-29 14:35:00,1,79,2,-103.1369,-103.90887,-103.90887,-103.52289
67,base,0,2025-07-29 15:00:00,1,84,2,-82.04706,-81.9072,-82.04706,-81.97713
68,base,0,2025-07-29 15:25:00,1,89,2,-57.39068,-56.28437,-57.39068,-56.837524
69,base,0,2025-07-29 15:50:00,1,94,2,-33.451683,-34.985935,-34.985935,-34.21881
70,base,0,2025-07-29 16:15:00,1,99,2,-16.325037,-15.396056,-16.325037,-15.860546
71,base,0,2025-07-29 16:40:00,1,104,2,-8.420725,-8.749129,-8.749129,-8.584927
72,base,0,2025-07-29 17:05:00,1,109,2,2.626463,1.5676088,1.5676088,2.097036
73,base,0,2025-07-29 17:30:00,1,114,2,3.2158108,3.056489,3.056489,3.13615
74,base,0,2025-07-29 17:55:00,1,119,2,1.5120678,0.3275385,0.3275385,0.91980314
75,base,0,2025-07-29 08:00:00,1,0,3,-565.6341,-567.1594,-567.1594,-566.3967
76,base,0,2025-07-29 08:20:00,1,4,3,-453.29538,-452.75006,-453.29538,-453.0227
77,base,0,2025-07-29 08:45:00,1,9,3,-429.099,-432.91403,-432.91403,-431.00653
78,base,0,2025-07-29 09:10:00,1,14,3,-416.80362,-418.03058,-418.03058,-417.4171
79,base,0,2025-07-29 09:35:00,1,19,3,-408.8716,-407.40482,-408.8716,-408.1382
80,base,0,2025-07-29 10:00:00,1,24,3,-386.19028,-387.9138,-387.9138,-387.05203
81,base,0,2025-07-29 10:25:00,1,29,3,-368.21396,-369.7453,-369.7453,-368.9796
82,base,0,2025-07-29 10:50:00,1,34,3,-347.46277,-346.08524,-347.46277,-346.774
83,base,0,2025-07-29 11:15:00,1,39,3,-323.5311,-320.88666,-323.5311,-322.20886
84,base,0,2025-07-29 11:40:00,1,44,3,-288.8473,-290.76917,-290.76917,-289.80823
85,base,0,2025-07-29 12:05:00,1,49,3,-255.94368,-256.3888,-256.3888,-256.16623
86,base,0,2025-07-29 12:30:00,1,54,3,-223.47159,-224.4519,-224.4519,-223.96175
87,base,0,2025-07-29 12:55:00,1,59,3,-190.92049,-190.51689,-190.92049,-190.71869
88,base,0,2025-07-29 13:20:00,1,64,3,-168.43639,-168.295,-168.43639,-168.36569
89,base,0,2025-07-29 13:45:00,1,69,3,-143.198,-142.00253,-143.198,-142.60027
90,base,0,2025-07-29 14:10:00,1,74,3,-123.66693,-123.206345,-123.66693,-123.43664
91,base,0,2025-07-29 14:35:00,1,79,3,-103.1369,-103.90887,-103.90887,-103.52289
92,base,0,2025-07-29 15:00:00,1,84,3,-82.04706,-81.9072,-82.04706,-81.97713
93,base,0,2025-07-29 15:25:00,1,89,3,-57.39068,-56.28437,-57.39068,-56.837524
94,base,0,2025-07-29 15:50:00,1,94,3,-33.451683,-34.985935,-34.985935,-34.21881
95,base,0,2025-07-29 16:15:00,1,99,3,-16.325037,-15.396056,-16.325037,-15.860546
96,base,0,2025-07-29 16:40:00,1,104,3,-8.420725,-8.749129,-8.749129,-8.584927
97,base,0,2025-07-29 17:05:00,1,109,3,2.626463,1.5676088,1.5676088,2.097036
98,base,0,2025-07-29 17:30:00,1,114,3,3.2158108,3.056489,3.056489,3.13615
99,base,0,2025-07-29 17:55:00,1,119,3,1.5120678,0.3275385,0.3275385,0.91980314
